seqid	BAQ1370.1.3	BAQ1552.1.1	BAQ2420.1.1	BAQ2420.1.2	BAQ2420.1.3	BAQ2420.2	BAQ2420.3	BAQ2462.1	BAQ2462.2	BAQ2462.3	BAQ2687.1	BAQ2687.2	BAQ2687.3	BAQ2838.1	BAQ2838.2	BAQ2838.3	BAQ3473.1	BAQ3473.2	BAQ3473.3	BAQ4166.1.1	BAQ4166.1.2	BAQ4166.1.3	BAQ4166.2	BAQ4166.3	BAQ4697.1	BAQ4697.2	BAQ4697.3	BAQ895.2	BAQ895.3	YUN1005.1.1	YUN1005.3	YUN1242.1	YUN1242.2	YUN1242.3	YUN1609.1	YUN2029.1	YUN2029.2	YUN3008.1.3	YUN3008.2	YUN3008.3	YUN3153.1	YUN3153.2	YUN3153.3	YUN3184.1	YUN3184.2	YUN3259.1.1	YUN3259.1.2	YUN3259.1.3	YUN3259.2	YUN3259.3	YUN3346.1	YUN3346.2	YUN3346.3	YUN3428.1	YUN3428.2	YUN3428.3	YUN3533.1.1	YUN3533.1.2	YUN3533.1.3	YUN3533.2	YUN3533.3	YUN3856.1.1	YUN3856.1.2	YUN3856.1.3	YUN3856.2	YUN3856.3
14a7b061e94506a22f6c2e448b4810d7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f749640ff795e2ec00098305514bac6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d58e31838e84ccfcfa64aa3e283d3d7	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	20	581	0	66	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4579db6ea66fa597bfe02b40a18bbbe	0	0	0	0	0	97	0	0	0	0	0	0	0	76	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42db26c2c81f1d89d295d759f0490177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	66	0	0	30	0	63	0	0	0	0	0	0	0	0	122	62	167
a7fb4b2b79be3e851a32cc21d3a63e51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	88	229	0	0	102	87	0	0	0	0	0	0
eb175b48283334e153cd542b1756a647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	22	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	362	0	0	0	0	0	0	0	0	0	0	0
b81d437663f6fa47595d54669713c504	0	0	0	72	20	96	0	67	51	11	0	163	0	26	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	61	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88d17d59e9681436cc60ba2ef049d35d	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	33	0	0	72	85	0	103	27	135	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	9
e9606ca05bb9183bd86f3c8de48d3b43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	61	0	0	0	42	36	0	0	0	0	0	51	34	70	0	68	116
e3c8ba9699934b10ac2932d8be1c01cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	69	153	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	49	54	55	104
0b04c9afd8aa284f2791a1513cc7ba8e	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	83	0	0	0	0	22	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	57	0	42	57	0	0	110	48	0	0	87
c7a3c75d90688e68200e663a0c81ddb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f922bb836523db0b8e265a464de54690	0	0	43	0	0	0	0	0	0	0	71	0	43	0	0	0	0	72	23	82	0	39	155	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6040fe8687b5cfc0e76f7030a94d7ac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	284	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e7e19b672a061e119437a7cf815db964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	31	0	22	39	18	160	12	0	0	0	0	0
892b0c3a180e5f4fe03cf39865a2f3a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	51	0	67	64
e4428584f56dad3be647b257fce5e14a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	35	298	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
95f85b31b6d22bec1f34814fa2b4c100	0	0	0	72	101	0	46	78	40	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	87	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0
366e4e1fa7fedeef5b48b920dd58b29d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	38	0	0	0	184	47	0	74	61
476ca54c0b962e7b62e01fb0fc01890f	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	129	109	57	76	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97fba611c33148ca4f36e745cd306e43	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	118	37	0	0	97	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	33	0	0	0	0	0	0	37	0	0	44
f9c93ccfdaccc1f8111dea02735ff80a	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	87	126	71	114	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eaa0991aa08140f1d6317dd793953657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6466aa53adc18d74c66bfebb47d6c1fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	173	43	64	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0
