sample	seqname	count
P13625_1077_S77	seq_000000277	1
P13625_1077_S77	seq_000000278	1
P13625_1077_S77	seq_000000279	1
P13625_1077_S77	seq_000000280	1
P13625_1079_S79	seq_000000281	2
P13625_1077_S77	seq_000000282	1
P13625_1077_S77	seq_000000283	2
P13625_1080_S80	seq_000000284	2
P13625_1077_S77	seq_000000285	2
P13625_1077_S77	seq_000000286	2
P13625_1078_S78	seq_000000287	1
P13625_1080_S80	seq_000000288	1
P13625_1077_S77	seq_000000289	47
P13625_1078_S78	seq_000000289	22
P13625_1079_S79	seq_000000290	385
P13625_1080_S80	seq_000000290	297
P13625_1077_S77	seq_000000291	81
P13625_1078_S78	seq_000000291	73
P13625_1077_S77	seq_000000292	57
P13625_1078_S78	seq_000000292	32
P13625_1079_S79	seq_000000293	1
P13625_1079_S79	seq_000000294	1
P13625_1079_S79	seq_000000295	2
P13625_1079_S79	seq_000000296	1
P13625_1079_S79	seq_000000297	1
P13625_1079_S79	seq_000000298	1
P13625_1080_S80	seq_000000299	1
P13625_1080_S80	seq_000000300	1
P13625_1079_S79	seq_000000301	1
P13625_1079_S79	seq_000000302	1
P13625_1079_S79	seq_000000303	2
P13625_1079_S79	seq_000000304	1
P13625_1080_S80	seq_000000305	1
P13625_1080_S80	seq_000000306	1
P13625_1075_S75	seq_000000307	92
P13625_1076_S76	seq_000000307	17
P13625_1077_S77	seq_000000307	592
P13625_1078_S78	seq_000000307	465
P13625_1079_S79	seq_000000307	3756
P13625_1080_S80	seq_000000307	3039
P13625_1077_S77	seq_000000308	1
P13625_1078_S78	seq_000000309	1
P13625_1078_S78	seq_000000310	1
P13625_1078_S78	seq_000000311	1
P13625_1079_S79	seq_000000312	1
P13625_1077_S77	seq_000000313	1
P13625_1078_S78	seq_000000314	1
P13625_1078_S78	seq_000000315	1
P13625_1078_S78	seq_000000316	1
P13625_1077_S77	seq_000000317	1
P13625_1077_S77	seq_000000318	1
P13625_1077_S77	seq_000000319	1
P13625_1077_S77	seq_000000320	1
P13625_1077_S77	seq_000000321	1
P13625_1077_S77	seq_000000322	1
P13625_1077_S77	seq_000000323	1
P13625_1077_S77	seq_000000324	1
P13625_1078_S78	seq_000000325	1
P13625_1078_S78	seq_000000326	1
P13625_1078_S78	seq_000000327	1
P13625_1077_S77	seq_000000328	1
P13625_1078_S78	seq_000000329	1
P13625_1078_S78	seq_000000330	1
P13625_1077_S77	seq_000000331	1
P13625_1077_S77	seq_000000332	1
P13625_1077_S77	seq_000000333	1
P13625_1079_S79	seq_000000334	1
P13625_1080_S80	seq_000000335	1
P13625_1079_S79	seq_000000336	1
P13625_1079_S79	seq_000000337	1
P13625_1075_S75	seq_000000338	62
P13625_1076_S76	seq_000000338	6
P13625_1077_S77	seq_000000338	2147
P13625_1078_S78	seq_000000338	1286
P13625_1079_S79	seq_000000338	268
P13625_1080_S80	seq_000000338	207
P13625_1078_S78	seq_000000339	1
P13625_1080_S80	seq_000000340	1
P13625_1080_S80	seq_000000341	1
P13625_1077_S77	seq_000000342	1
P13625_1078_S78	seq_000000343	1
P13625_1078_S78	seq_000000344	1
P13625_1080_S80	seq_000000345	1
P13625_1077_S77	seq_000000346	1
P13625_1078_S78	seq_000000347	1
P13625_1077_S77	seq_000000348	1
P13625_1080_S80	seq_000000349	1
P13625_1078_S78	seq_000000350	4
P13625_1075_S75	seq_000000351	31
P13625_1077_S77	seq_000000351	992
P13625_1078_S78	seq_000000351	594
P13625_1079_S79	seq_000000351	724
P13625_1080_S80	seq_000000351	525
P13625_1077_S77	seq_000000352	1
P13625_1077_S77	seq_000000353	1
P13625_1077_S77	seq_000000354	1
P13625_1080_S80	seq_000000355	1
P13625_1080_S80	seq_000000356	1
P13625_1080_S80	seq_000000357	1
P13625_1080_S80	seq_000000358	2
P13625_1080_S80	seq_000000359	1
P13625_1080_S80	seq_000000360	1
P13625_1080_S80	seq_000000361	1
P13625_1075_S75	seq_000000362	28
P13625_1076_S76	seq_000000362	7
P13625_1079_S79	seq_000000362	1302
P13625_1080_S80	seq_000000362	834
P13625_1076_S76	seq_000000363	9
P13625_1075_S75	seq_000000364	29
P13625_1075_S75	seq_000000365	1194
P13625_1075_S75	seq_000000366	1242
P13625_1080_S80	seq_000000367	1
P13625_1079_S79	seq_000000368	1
P13625_1080_S80	seq_000000368	6
P13625_1079_S79	seq_000000369	1
P13625_1078_S78	seq_000000370	1
P13625_1079_S79	seq_000000371	1
P13625_1079_S79	seq_000000372	1
P13625_1077_S77	seq_000000373	1
P13625_1075_S75	seq_000000374	162
P13625_1076_S76	seq_000000374	32
P13625_1077_S77	seq_000000374	372
P13625_1078_S78	seq_000000374	1218
P13625_1079_S79	seq_000000374	3571
P13625_1080_S80	seq_000000374	7375
P13625_1080_S80	seq_000000375	1
P13625_1078_S78	seq_000000376	1
P13625_1078_S78	seq_000000377	1
P13625_1079_S79	seq_000000378	1
P13625_1078_S78	seq_000000379	1
P13625_1077_S77	seq_000000380	1
P13625_1078_S78	seq_000000381	1
P13625_1078_S78	seq_000000382	1
P13625_1079_S79	seq_000000383	2
P13625_1079_S79	seq_000000384	2
P13625_1079_S79	seq_000000385	2
P13625_1080_S80	seq_000000386	1
P13625_1080_S80	seq_000000387	1
P13625_1078_S78	seq_000000388	2
P13625_1077_S77	seq_000000389	1
P13625_1077_S77	seq_000000390	1
P13625_1077_S77	seq_000000391	1
P13625_1077_S77	seq_000000392	2
P13625_1079_S79	seq_000000393	1
P13625_1080_S80	seq_000000394	1
P13625_1080_S80	seq_000000395	2
P13625_1080_S80	seq_000000396	1
P13625_1077_S77	seq_000000397	2
P13625_1075_S75	seq_000000398	4
P13625_1077_S77	seq_000000398	92
P13625_1078_S78	seq_000000398	49
P13625_1079_S79	seq_000000398	73
P13625_1080_S80	seq_000000398	71
P13625_1077_S77	seq_000000399	140
P13625_1078_S78	seq_000000399	110
P13625_1079_S79	seq_000000399	61
P13625_1080_S80	seq_000000399	50
P13625_1078_S78	seq_000000400	1
P13625_1077_S77	seq_000000401	1082
P13625_1078_S78	seq_000000401	703
P13625_1079_S79	seq_000000401	35
P13625_1080_S80	seq_000000401	55
P13625_1077_S77	seq_000000402	1095
P13625_1078_S78	seq_000000402	703
P13625_1078_S78	seq_000000403	1
P13625_1078_S78	seq_000000404	1
P13625_1078_S78	seq_000000405	1
P13625_1077_S77	seq_000000406	1
P13625_1075_S75	seq_000000407	34
P13625_1077_S77	seq_000000407	1783
P13625_1078_S78	seq_000000407	1127
P13625_1077_S77	seq_000000408	153
P13625_1078_S78	seq_000000408	77
P13625_1079_S79	seq_000000408	23
P13625_1080_S80	seq_000000408	39
P13625_1075_S75	seq_000000409	16
P13625_1077_S77	seq_000000409	769
P13625_1078_S78	seq_000000409	467
P13625_1075_S75	seq_000000410	13
P13625_1077_S77	seq_000000410	172
P13625_1078_S78	seq_000000410	119
P13625_1079_S79	seq_000000410	15
P13625_1080_S80	seq_000000410	20
P13625_1077_S77	seq_000000411	143
P13625_1078_S78	seq_000000411	87
P13625_1079_S79	seq_000000411	27
P13625_1080_S80	seq_000000411	35
P13625_1079_S79	seq_000000412	1
P13625_1079_S79	seq_000000413	1
P13625_1080_S80	seq_000000414	1
P13625_1077_S77	seq_000000415	1
P13625_1077_S77	seq_000000416	1
P13625_1079_S79	seq_000000417	1
P13625_1077_S77	seq_000000418	1
P13625_1077_S77	seq_000000419	1
P13625_1077_S77	seq_000000420	1
P13625_1079_S79	seq_000000421	1
P13625_1079_S79	seq_000000422	1
P13625_1079_S79	seq_000000423	1
P13625_1079_S79	seq_000000424	1
P13625_1078_S78	seq_000000425	1
P13625_1078_S78	seq_000000426	1
P13625_1075_S75	seq_000000427	49
P13625_1076_S76	seq_000000427	3
P13625_1077_S77	seq_000000427	1201
P13625_1078_S78	seq_000000427	554
P13625_1079_S79	seq_000000427	2076
P13625_1080_S80	seq_000000427	1187
P13625_1077_S77	seq_000000428	13
P13625_1078_S78	seq_000000428	6
P13625_1079_S79	seq_000000428	5
P13625_1080_S80	seq_000000428	13
P13625_1077_S77	seq_000000429	7
P13625_1078_S78	seq_000000429	7
P13625_1077_S77	seq_000000430	1
P13625_1078_S78	seq_000000431	1
P13625_1078_S78	seq_000000432	1
P13625_1079_S79	seq_000000433	1
P13625_1075_S75	seq_000000434	50
P13625_1077_S77	seq_000000434	2586
P13625_1078_S78	seq_000000434	1903
P13625_1079_S79	seq_000000434	283
P13625_1080_S80	seq_000000434	205
P13625_1080_S80	seq_000000435	1
P13625_1079_S79	seq_000000436	1
P13625_1079_S79	seq_000000437	1
P13625_1077_S77	seq_000000438	1
P13625_1077_S77	seq_000000439	1
P13625_1080_S80	seq_000000440	1
P13625_1080_S80	seq_000000441	2
P13625_1080_S80	seq_000000442	1
P13625_1075_S75	seq_000000443	77
P13625_1076_S76	seq_000000443	19
P13625_1077_S77	seq_000000443	305
P13625_1078_S78	seq_000000443	279
P13625_1079_S79	seq_000000443	3101
P13625_1080_S80	seq_000000443	2745
P13625_1079_S79	seq_000000444	555
P13625_1080_S80	seq_000000444	480
P13625_1079_S79	seq_000000445	1
P13625_1079_S79	seq_000000446	1
P13625_1077_S77	seq_000000447	1
P13625_1080_S80	seq_000000448	1
P13625_1079_S79	seq_000000449	2
P13625_1079_S79	seq_000000450	1
P13625_1079_S79	seq_000000451	1
P13625_1079_S79	seq_000000452	1
P13625_1080_S80	seq_000000453	1
P13625_1080_S80	seq_000000454	1
P13625_1079_S79	seq_000000455	1
P13625_1079_S79	seq_000000456	1
P13625_1075_S75	seq_000000457	24
P13625_1076_S76	seq_000000457	10
P13625_1079_S79	seq_000000457	992
P13625_1080_S80	seq_000000457	784
P13625_1080_S80	seq_000000458	1
P13625_1080_S80	seq_000000459	1
P13625_1079_S79	seq_000000460	1
